,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
status_apotheosis_brain_damage_00_name,Brain Rot,Гниение мозга,,,,,,,轻度脑部受损,脳障害,,,,
status_apotheosis_brain_damage_00_desc,You feel your mind ceasing to function.\nFurther consumption may be a mistake.,"Вы чувствуете, что ваш разум перестаёт функционировать.\nДальнейшее потребление может быть ошибкой.",,,,,,,你感觉你的意识正在停止运转。\n继续摄取是个错误。,精神に異常が起きている。\nこれ以上摂取しない方がよさそうだ。,,,,
status_apotheosis_brain_damage_01_name,Brain Rot,Гниение мозга,,,,,,,中度脑部受损,脳障害,,,,
status_apotheosis_brain_damage_01_desc,You suffer permanent brain damage.\nFurther consumption may prove lethal.,Вы получаете необратимое повреждение мозга.\nДальнейшее потребление может оказаться смертельным.,,,,,,,你受到了永久的脑损伤。\n继续摄取可能会致命。,脳が激しいダメージを受けている。\nこれ以上摂取すると、致命的な影響を受けそうだ。,,,,
status_apotheosis_brain_damage_02_name,Brain Rot,Гниение мозга,,,,,,,重度脑部受损,脳障害,,,,
status_apotheosis_brain_damage_02_desc,The last of your neurons will soon cease to be.,Последние ваши нейроны скоро перестанут существовать.,,,,,,,你最后的神经活动很快就会停止。,脳が破壊されていく。,,,,
status_apotheosis_brain_damage_perma_name,Brain Damage,Повреждение мозга,,,,,,,脑损伤,脳障害,,,,
status_apotheosis_brain_damage_perma_desc,You suffer permanent brain damage.\nAim is irreversibly disturbed.,Вы получаете необратимое повреждение мозга.\nПрицел необратимо нарушен.,,,,,,,你受到了永久的脑损伤。\n瞄准受到不可逆的干扰。,脳機能に不可逆的な障害を負ってしまった。\n照準がうまく合わせられない。,,,,
status_apotheosis_flesh_curse_name,Sacrilegious Curse,Кощунственное проклятие,,,,,,,亵渎诅咒,涜神者の呪い,,,,
status_apotheosis_flesh_curse_desc,You feel your flesh growing uncontrollably.,"Вы чувствуете, как ваша плоть бесконтрольно растёт.",,,,,,,你感觉你的血肉在无法控制地生长。,身体から光がとめどなく溢れてくる！,,,,
status_apotheosis_flesh_curse_death,Corrupted.,Развращённый.,,,,,,,腐化,堕落,,,,
status_apotheosis_bragi_name,Poem of Seville,Севильская поэма,,,,,,,塞维利亚之诗,セビリアの抒情詩,,,,
status_apotheosis_bragi_desc,You feel more fluent in spell casting!\nCast delay and reload time is significantly reduced on all wands.,Вы чувствуете себя более бегло в заклинаниях!\nЗадержка наложения и время перезарядки значительно сокращены на всех жезлах.,,,,,,,你感觉法术施放变得更加流畅！\n所有法杖的施放延迟和充能时间大大减少。,より滑らかに呪文を詠唱できるようになった！\n詠唱遅延、リチャージ時間が大きく減少する。,,,,
status_apotheosis_slow_name,Slow,Замедленное движение,Movimento lento,Movimiento lento,Langsamere Bewegungen,Mouvements réduits,Movimenti più lenti,Wolniejszy ruch,缓慢,移動速度低下,느린 이동,,,
status_apotheosis_slow_desc,You feel sluggish.,Вы чувствуете себя вялым.,Sua movimentação se torna mais lenta por um tempo.,Te mueves más lento durante un tiempo.,Du bewegst dich eine Zeit lang langsamer.,Vous bougez plus lentement pendant un moment.,I tuoi movimenti sono rallentati per un certo periodo.,Przez jakiś czas poruszasz się wolniej.,你感觉慢吞吞的。,一定期間、移動速度が低下する。,잠시 동안 느리게 움직입니다.,,,
status_apotheosis_end_debuff_name,Final Requiem,Последний реквием,,,,,,,最后的镇魂曲,最後のレクイエム,,,,
status_apotheosis_end_debuff_desc,Protective Perks are disabled.\nYou can not be healed.,Защитные бонусы отключены.\nВы не можете быть исцелены.,,,,,,,令保护与免疫效果失效。\n此外，你无法受到治疗。,防御系パークの効果がなくなる。\n回復魔法の効果がない。,,,,
status_apotheosis_protection_vulnerable_name,Vulnerable Immunity,Иммунитет к уязвимости,,,,,,,虚弱免疫,無力感に対する免疫,,,,
status_apotheosis_protection_vulnerable_desc,You can not have your immunities disabled from most sources.,Вы не можете отключить свой иммунитет от большинства источников.,,,,,,,你的保护与免疫效果不再会因大多数原因失效。,ほとんどの情報源から、プロテクト特典を無効にすることはできない。,,,,
creep_apotheosis_boss_flesh_monster_name,Kerettiläinenhirviö,Чудовище-еретик,,,,,,,异端怪物,ケレッティレイネンヒルヴィオ,,,,
log_apotheosis_fish,The red fish is real,Красная рыба реальна,,,,,,,朱红鱼是真实存在的,あかいさかな,,,,
log_apotheosis_shift_blocked_name,Shift Blocked,Сдвиг заблокирован,,,,,,,转换受到了阻止,きのこシフトが無効化された,,,,
log_apotheosis_shift_blocked_desc,The world is set in stone.,Мир застыл в камне.,,,,,,,世界稳如磐石。,世界が進化の足を止めた。,,,,
log_apotheosis_upgrade_alwayscast_cheater_name,You cannot cheat the gods!,Вы не можете обмануть богов!,,,,,,,你无法欺骗众神！,神の目は騙せない！,,,,
log_apotheosis_upgrade_alwayscast_cheater_desc,Always cast upgrade can only be used once,Улучшение постоянного наложения можно использовать только один раз,,,,,,,始终施放升级只能使用一次,常時詠唱アップグレードは1度しか使えない。,,,,
log_apotheosis_upgrade_alwayscast_success_name,A permanent enchantment sinks into your wand,Постоянное зачарование проникает в ваш жезл,,,,,,,一股永久的附魔浸入了你的法杖,杖に魔法のアップグレードが施された。,,,,
log_apotheosis_upgrade_alwayscast_success_desc,Some things can never be undone...,Некоторые вещи нельзя отменить...,,,,,,,覆水难收，有些事永远也不能反悔,元に戻せないものもある。,,,,
log_apotheosis_flesh_boss_warning,Something wicked this way comes...,Что-то злое идёт сюда...,,,,,,,有邪恶的东西向这边走来...,異様な気配を感じる……,,,,
log_apotheosis_fishing_caught_name,You caught a fish!,Вы поймали рыбу!,,,,,,,你钓到了一条鱼！,魚をゲットした！,,,,
log_apotheosis_fishing_caught_desc,Rarity:,Редкость:,,,,,,,稀有度：,レア度:,,,,
item_apotheosis_egg_fire_lukki_name,Volcanic Egg,Вулканическое яйцо,,,,,,,火热的蛋,熱い卵,,,,
